"","Mail","Gifts","CnGf_1_Amount","TestGroup1","Gender","St","Type","Class","Left","Middle","Right","Largest","Last","LGDate","FY13","FY14","Class1","FY1314","log13","log14","logLast","newdate","TG","TestGroup1B","TestGroup1C","TestGroup1D","Baselinell"
"1",0,0,0,"B",2,1,0,1971,300,200,100,9,35,440,85,35,44,2975,4.45434729625351,3.58351893845611,3.58351893845611,16253,"B",1,0,0,-0.407968238326283
"2",0,1,10,"D",1,1,0,2003,50,25,10,8,10,172,10,0,12,0,2.39789527279837,0,2.39789527279837,16521,"D",0,0,1,-1.09362474715707
"3",0,0,0,"C",2,1,0,2002,100,75,50,50,25,465,25,0,13,0,3.25809653802148,0,3.25809653802148,16228,"C",0,1,0,-0.407968238326283
"4",0,0,0,"A",1,1,1,2000,300,200,100,9,50,135,85,50,15,4250,4.45434729625351,3.93182563272433,3.93182563272433,16558,"A",0,0,0,-0.407968238326283
"5",0,0,0,"A",2,1,1,1998,150,100,50,61,50,193,0,50,17,0,0,3.93182563272433,3.93182563272433,16500,"A",0,0,0,-0.407968238326283
"6",0,0,0,"B",2,0,1,1979,300,200,100,9,100,181,0,100,36,0,0,4.61512051684126,4.61512051684126,16512,"B",1,0,0,-0.407968238326283
"7",0,0,0,"A",2,0,1,1999,150,100,50,61,50,101,50,50,16,2500,3.93182563272433,3.93182563272433,3.93182563272433,16592,"A",0,0,0,-0.407968238326283
"8",0,0,0,"A",2,0,0,1975,300,200,100,9,100,153,100,0,40,0,4.61512051684126,0,4.61512051684126,16540,"A",0,0,0,-0.407968238326283
"9",0,1,100,"A",1,0,1,2001,150,100,50,61,50,1,50,0,14,0,3.93182563272433,0,3.93182563272433,16692,"A",0,0,0,-1.09362474715707
"10",0,1,150,"B",2,1,1,1966,300,200,100,9,100,394,75,175,49,13125,4.33073334028633,5.17048399503815,4.61512051684126,16299,"B",1,0,0,-1.09362474715707
"11",0,0,0,"A",1,0,1,1972,375,250,125,16,50,399,50,50,43,2500,3.93182563272433,3.93182563272433,3.93182563272433,16294,"A",0,0,0,-0.407968238326283
"12",1,1,125,"B",1,0,1,1975,325,225,125,13,110,233,110,110,40,12100,4.70953020131233,4.70953020131233,4.70953020131233,16460,"B",1,0,0,-1.09362474715707
"13",0,0,0,"A",2,0,0,1951,1500,1000,500,62,100,430,100,100,64,10000,4.61512051684126,4.61512051684126,4.61512051684126,16263,"A",0,0,0,-0.407968238326283
"14",0,1,250,"C",2,0,0,1975,375,325,250,40,250,442,200,250,40,50000,5.30330490805908,5.52545293913178,5.52545293913178,16251,"C",0,1,0,-1.09362474715707
"15",0,0,0,"C",2,0,0,1982,150,125,100,9,100,463,100,100,33,10000,4.61512051684126,4.61512051684126,4.61512051684126,16230,"C",0,1,0,-0.407968238326283
"16",0,0,0,"B",2,0,1,1966,450,300,150,22,150,303,150,0,49,0,5.01727983681492,0,5.01727983681492,16390,"B",1,0,0,-0.407968238326283
"17",0,0,0,"A",2,1,0,1975,150,100,50,61,25,124,25,25,40,625,3.25809653802148,3.25809653802148,3.25809653802148,16569,"A",0,0,0,-0.407968238326283
"18",0,0,0,"B",2,0,0,1981,600,400,200,34,200,453,0,0,34,0,0,0,5.30330490805908,16240,"B",1,0,0,-0.407968238326283
"19",1,1,200,"A",2,1,0,1970,300,200,100,9,50,457,100,50,45,5000,4.61512051684126,3.93182563272433,3.93182563272433,16236,"A",0,0,0,-1.09362474715707
"20",0,0,0,"B",2,0,0,1977,600,400,200,34,100,529,0,100,38,0,0,4.61512051684126,4.61512051684126,16164,"B",1,0,0,-0.407968238326283
"21",0,1,250,"A",2,0,1,1978,1200,800,400,56,250,457,300,250,37,75000,5.70711026474888,5.52545293913178,5.52545293913178,16236,"A",0,0,0,-1.09362474715707
"22",1,1,200,"B",2,0,1,1980,600,400,200,34,200,433,0,200,35,0,0,5.30330490805908,5.30330490805908,16260,"B",1,0,0,-1.09362474715707
"23",0,0,0,"A",2,1,1,1976,300,200,100,9,100,433,0,100,39,0,0,4.61512051684126,4.61512051684126,16260,"A",0,0,0,-0.407968238326283
"24",0,0,0,"B",2,1,1,1980,75,50,25,39,25,510,0,0,35,0,0,0,3.25809653802148,16183,"B",1,0,0,-0.407968238326283
"25",0,0,0,"A",1,0,0,2000,450,300,150,22,150,267,0,150,15,0,0,5.01727983681492,5.01727983681492,16426,"A",0,0,0,-0.407968238326283
"26",0,0,0,"C",2,1,1,1974,150,125,100,9,100,450,100,0,41,0,4.61512051684126,0,4.61512051684126,16243,"C",0,1,0,-0.407968238326283
"27",0,0,0,"B",1,1,1,1987,75,50,25,39,25,36,25,25,28,625,3.25809653802148,3.25809653802148,3.25809653802148,16657,"B",1,0,0,-0.407968238326283
"28",0,0,0,"A",2,1,1,1974,300,200,100,9,100,348,100,0,41,0,4.61512051684126,0,4.61512051684126,16345,"A",0,0,0,-0.407968238326283
"29",0,1,100,"C",2,0,1,1976,150,125,100,9,100,433,100,100,39,10000,4.61512051684126,4.61512051684126,4.61512051684126,16260,"C",0,1,0,-1.09362474715707
"30",0,0,0,"D",2,0,0,1977,150,100,50,9,100,489,100,0,38,0,4.61512051684126,0,4.61512051684126,16204,"D",0,0,1,-0.407968238326283
"31",0,0,0,"C",2,0,1,1982,100,75,50,46,25,193,0,25,33,0,0,3.25809653802148,3.25809653802148,16500,"C",0,1,0,-0.407968238326283
"32",0,0,0,"C",2,0,1,1979,225,200,150,22,100,433,0,100,36,0,0,4.61512051684126,4.61512051684126,16260,"C",0,1,0,-0.407968238326283
"33",0,0,0,"D",1,1,0,1986,150,100,50,9,50,295,0,0,29,0,0,0,3.93182563272433,16398,"D",0,0,1,-0.407968238326283
"34",0,0,0,"B",2,0,1,1977,300,200,100,9,100,135,100,100,38,10000,4.61512051684126,4.61512051684126,4.61512051684126,16558,"B",1,0,0,-0.407968238326283
"35",0,0,0,"B",2,0,0,1982,300,200,100,9,30,204,30,0,33,0,3.43398720448515,0,3.43398720448515,16489,"B",1,0,0,-0.407968238326283
"36",1,1,100,"A",2,1,1,1979,1500,1000,500,62,75,367,75,75,36,5625,4.33073334028633,4.33073334028633,4.33073334028633,16326,"A",0,0,0,-1.09362474715707
"37",0,0,0,"B",1,1,1,1978,150,100,75,63,25,209,25,0,37,0,3.25809653802148,0,3.25809653802148,16484,"B",1,0,0,-0.407968238326283
"38",0,1,100,"C",2,0,0,1979,375,325,250,40,250,551,80,250,36,20000,4.39444915467244,5.52545293913178,5.52545293913178,16142,"C",0,1,0,-1.09362474715707
"39",0,0,0,"C",2,1,0,1954,1500,1000,500,2,250,303,250,0,61,0,5.52545293913178,0,5.52545293913178,16390,"C",0,1,0,-0.407968238326283
"40",0,0,0,"B",1,1,1,1972,300,200,100,9,50,193,50,50,43,2500,3.93182563272433,3.93182563272433,3.93182563272433,16500,"B",1,0,0,-0.407968238326283
"41",1,1,20,"B",2,1,0,1975,75,50,25,30,20,55,20,20,40,400,3.04452243772342,3.04452243772342,3.04452243772342,16638,"B",1,0,0,-1.09362474715707
"42",1,1,100,"B",2,1,1,1994,600,400,200,34,100,233,100,100,21,10000,4.61512051684126,4.61512051684126,4.61512051684126,16460,"B",1,0,0,-1.09362474715707
"43",0,0,0,"C",1,1,1,1983,100,75,50,61,10,278,0,0,32,0,0,0,2.39789527279837,16415,"C",0,1,0,-0.407968238326283
"44",1,1,300,"B",2,0,0,1966,1500,1000,500,62,250,279,200,250,49,50000,5.30330490805908,5.52545293913178,5.52545293913178,16414,"B",1,0,0,-1.09362474715707
"45",0,1,100,"C",2,0,0,1984,175,150,125,13,100,281,110,100,31,11000,4.70953020131233,4.61512051684126,4.61512051684126,16412,"C",0,1,0,-1.09362474715707
